regime_id,role,world_count,true_margin,theoretical_oracle_value,oracle_mean,oracle_median,oracle_standard_error,oracle_ci_lower,oracle_ci_upper,learned_mean,learned_median,learned_standard_error,learned_ci_lower,learned_ci_upper,adoption_rate,adoption_wilson_lower,adoption_wilson_upper,project_success_rate,structural_pass_rate
adversarial_margin,negative_control,4096,-0.027008117603021155,0,0,0,0,0,0,-1.1423235681904232e-05,0,8.0764610962325614e-06,-2.7253099430520053e-05,4.4066280667115892e-06,0.00048828125,0.00013391174162842654,0.0017787475181829768,0.883056640625,1
null_margin,size_control,4096,0,0,0,0,0,0,0,-0.00015179147728101007,0,8.4977184462184889e-05,-0.00031834675882689244,1.4763804264872305e-05,0.0576171875,0.050886834923537176,0.065176575916530408,0.883056640625,1
low_dose_positive,secondary_positive,4096,0.0025000000000000001,0.0025000000000000001,0.0025677067461346522,0.010061128973143992,0.00032178051974214274,0.0019370169274400524,0.003198396564829252,5.1024364509800739e-05,0,9.5939301744771684e-05,-0.00013701666690995175,0.00023906539592955325,0.073486328125,0.065888652726446131,0.081883300219248153,0.883056640625,1
powered_positive,primary_positive,4096,0.054016235206042311,0.054016235206042311,0.054145658672092818,0.06846955891196746,0.0006150930675317451,0.052940076259730601,0.055351241084455036,0.051227021955366284,0.06846955891196746,0.00062485292036476895,0.050002310231451338,0.052451733679281229,0.941650390625,0.93404939632204564,0.94842372166378108,0.883056640625,1
