instance_id,family,size,full_status,mandatory_status,original_variables,reduced_variables,variables_removed,variable_reduction_fraction,original_requirements,reduced_requirements,requirements_removed,requirement_reduction_fraction,forced_selections,fixed_point_iterations,full_par2_seconds,mandatory_par2_seconds,log_par2_difference_full_minus_mandatory,full_node_count,mandatory_node_count,node_difference_full_minus_mandatory,log1p_node_difference_full_minus_mandatory,full_record_path,full_record_sha256,mandatory_record_path,mandatory_record_sha256
V2-A-N011-R006-X03,small_exact,N11-R6,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,11,0,11,1.0,6,0,6,1.0,3,12,4.001724458,1.873371541,0.75898561213563,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,8e58b534cc143976e9eed6a963a2267402bf2306f9bb73fdfe8b2667f64582c7,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X03/jump_highs_tagged_cover__mandatory_only.toml,aa841baef0e060d19617dc6fe4d492aa675e1637cf260230fc6863c7724bc29f
V2-A-N011-R006-X04,small_exact,N11-R6,SOLVED,SOLVED,11,3,8,0.7272727272727273,6,2,4,0.6666666666666666,2,8,3.813331959,2.354860291,0.48202193558889683,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/jump_highs_tagged_cover__full_fixed_point.toml,1fcf0e93eac1fb17f62ce39c385f204cd42cd2cf5299469719689aa58be0430e,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X04/jump_highs_tagged_cover__mandatory_only.toml,19f5f48bb1ae4baec4db764297552918e331d9ea6d7fee59bdc613b90e82434f
V2-A-N011-R010-X01,small_exact,N11-R10,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,11,0,11,1.0,10,0,10,1.0,4,11,3.05218725,1.739652542,0.5621730599709022,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,f51d4c3a75aa301bef852d6f8f6e9f08950016b481fc8403afc652cca47e3343,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X01/jump_highs_tagged_cover__mandatory_only.toml,58b5a0d567d48b46dbb0496aac3a03d7c9e1f7c89a643d865051839a40c00955
V2-A-N011-R010-X02,small_exact,N11-R10,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,11,0,11,1.0,10,0,10,1.0,2,12,2.987882166,1.304751375,0.8285523253674272,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,456f3ba5d256da4690fe4bcb61230242ec7f98d6d3d98a3a24f95ce8f72308b2,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X02/jump_highs_tagged_cover__mandatory_only.toml,4627362c7502368d1718def031988a68311fc18f287c37b1a1916702443dcaae
V2-A-N011-R010-X03,small_exact,N11-R10,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,11,0,11,1.0,10,0,10,1.0,3,15,3.08342475,1.696896875,0.5972396956639067,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,3c010f1865b2639a772eb9e3a65a96076f598e5fc7727b5c37fbb849b64f52fb,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X03/jump_highs_tagged_cover__mandatory_only.toml,998f61e1beacea8abe10e15681bccd015e184ada36062e4cb0007cb5a7ac23f6
V2-A-N011-R010-X04,small_exact,N11-R10,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,11,0,11,1.0,10,0,10,1.0,3,14,4.658494417,1.636497667,1.0461339200985265,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,238f2d6edcdc7e13148c26562e1e4cd8a252a032fc8a4691f5f6fd5f72d7b1e6,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R010-X04/jump_highs_tagged_cover__mandatory_only.toml,a697ff1fc11bcf3e19072145bf03c28ac6b8e21d4bbc17d9cccf84d25f4bf975
V2-A-N015-R006-X01,small_exact,N15-R6,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,15,0,15,1.0,6,0,6,1.0,4,15,5.21027775,1.647496958,1.1513760243259672,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,e2a8cff08009035f83c0b0aaf14018fa6fe7b9c72d8235c08117f6200c6ae900,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X01/jump_highs_tagged_cover__mandatory_only.toml,1a72b88bb89a4a3940be38feaefc412163a28aa35a49d86b8314a8c20a5b31c6
V2-A-N015-R006-X02,small_exact,N15-R6,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,15,0,15,1.0,6,0,6,1.0,2,16,3.783999042,1.476028959,0.9414260521138407,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,5003e4d0e4e6e02c04fe953a31ee418dead1edca8d1379c21e794e2bf9e80a38,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X02/jump_highs_tagged_cover__mandatory_only.toml,603b82b56c28b693cc79be6bea661e48f18891fbd2baaa1dd9ea766ef38f7e8b
V2-A-N015-R006-X03,small_exact,N15-R6,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,15,0,15,1.0,6,0,6,1.0,3,12,5.061955666,1.60989,1.1455870502053547,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,e3a24f1269fe43b5132e04bd64f1c5c4b88d06d58f26ffffe5c2f0dbd00fa228,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X03/jump_highs_tagged_cover__mandatory_only.toml,5fd44421a433bac5530c32a9f3ff7deede2e52eb5250523756866da8139bf2e3
V2-A-N015-R006-X04,small_exact,N15-R6,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,15,0,15,1.0,6,0,6,1.0,3,14,3.986787625,1.848332416,0.7687019642820473,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X04/jump_highs_tagged_cover__full_fixed_point.toml,7ee1995f1ab519243823b6a70387d402111f1f80d700971db8eb3ee30c9ba6f6,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N015-R006-X04/jump_highs_tagged_cover__mandatory_only.toml,16115ee531968fe3bbb8047dc5f2a6517aeae9a1b37e2c7a009a429b2dd319ec
