audit_id,schedule_id,instance_sha256,status,certified_global_optimum,preprocessing_feasible,residual_strategy_count,residual_requirement_count,forced_strategy_count,selected_active_strategy_count,exact_optimum_burden,exact_mandatory_retention,exact_tagged_coverage,exact_frontier_preservation,exact_closure_preservation,exact_feasible,theorem_basis,evidence_class,lean_verified,solver_invoked,solver_status_used_as_proof
locked_terminal_v1,equal_active_strategy,94a8fe492a0e6266c6700a9c3add4fa756bcea0e9b4088c8ee73e6c44628977d,certified_exact_global_optimum,true,true,0,0,26,25,25//1,true,true,true,true,true,"optimum-value preservation of mandatory propagation, redundant-row merging, unique-carrier forcing, empty-column deletion, duplicate-coverage reduction, and exact coverage dominance",human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence,false,false,false
locked_terminal_v1,validation_computation,dce9560bd89932045fae4e2f68f7eada2473beb6d47f90655e944049e710b061,certified_exact_global_optimum,true,true,0,0,26,25,338//1,true,true,true,true,true,"optimum-value preservation of mandatory propagation, redundant-row merging, unique-carrier forcing, empty-column deletion, duplicate-coverage reduction, and exact coverage dominance",human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence,false,false,false
locked_terminal_v1,governance_complexity,5bed56a67e2700abe9a55476af11b8c0d44c55c89402012b6bab3e07a88c2590,certified_exact_global_optimum,true,true,0,0,26,25,85//1,true,true,true,true,true,"optimum-value preservation of mandatory propagation, redundant-row merging, unique-carrier forcing, empty-column deletion, duplicate-coverage reduction, and exact coverage dominance",human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence,false,false,false
annual_walk_forward_v2,equal_active_strategy,4e2ad52b2947b79dadeb8b8d17907dfd0d6dba79652b17268ce1378067420740,certified_exact_global_optimum,true,true,0,0,101,100,100//1,true,true,true,true,true,"optimum-value preservation of mandatory propagation, redundant-row merging, unique-carrier forcing, empty-column deletion, duplicate-coverage reduction, and exact coverage dominance",human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence,false,false,false
annual_walk_forward_v2,validation_computation,1d01e41d8ce59f886a4015bf4f78615a6212bfabd53edbc2af3031887d228923,certified_exact_global_optimum,true,true,0,0,101,100,1170//1,true,true,true,true,true,"optimum-value preservation of mandatory propagation, redundant-row merging, unique-carrier forcing, empty-column deletion, duplicate-coverage reduction, and exact coverage dominance",human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence,false,false,false
annual_walk_forward_v2,governance_complexity,962d00e14b8b07eee8fc6667f50aee2036c742f867048844ce10a802156467b2,certified_exact_global_optimum,true,true,0,0,101,100,315//1,true,true,true,true,true,"optimum-value preservation of mandatory propagation, redundant-row merging, unique-carrier forcing, empty-column deletion, duplicate-coverage reduction, and exact coverage dominance",human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence,false,false,false
