method,trial_count,positive_loss_count,positive_loss_frequency,mean_positive_loss,mean_signed_operational_loss,mean_signed_generative_loss,mean_signed_total_dynamic_loss,maximum_signed_total_dynamic_loss,mean_retention_ratio,mean_compression_ratio,exact_decomposition_count
frontier_only,1024,398,199//512,124909129//78249984,0//1,124909129//201326592,124909129//201326592,3797//512,7//12,5//12,1024
innovation_safe,1024,0,0//1,,0//1,0//1,0//1,0//1,7//8,1//8,1024
approx_operational,1024,767,767//1024,15055385//9424896,470575//786432,7526185//12582912,15055385//12582912,14191//1536,3125//6144,3019//6144,1024
approx_generative,1024,930,465//512,2157118109//182845440,9695525//786432,-108312097//67108864,2157118109//201326592,14525//768,869//3072,2203//3072,1024
