schedule,belief,left_mask,left_library,left_value,left_burden,right_mask,right_library,right_value,right_burden,relationship,switching_price,nonnegative_candidate,globally_active
carrier_heavy,low,0,I,115//288,1//1,1,I+A,1//1,3//1,intersection,173//576,true,false
carrier_heavy,low,0,I,115//288,1//1,2,I+B,1//1,3//1,intersection,173//576,true,false
carrier_heavy,low,0,I,115//288,1//1,3,I+A+B,1//1,5//1,intersection,173//1152,true,false
carrier_heavy,low,0,I,115//288,1//1,4,I+D,14//3,2//1,intersection,1229//288,true,true
carrier_heavy,low,0,I,115//288,1//1,5,I+A+D,14//3,4//1,intersection,1229//864,true,false
carrier_heavy,low,0,I,115//288,1//1,6,I+B+D,14//3,4//1,intersection,1229//864,true,false
carrier_heavy,low,0,I,115//288,1//1,7,I+A+B+D,14//3,6//1,intersection,1229//1440,true,false
carrier_heavy,low,1,I+A,1//1,3//1,2,I+B,1//1,3//1,coincident,,false,false
carrier_heavy,low,1,I+A,1//1,3//1,3,I+A+B,1//1,5//1,intersection,0//1,true,false
carrier_heavy,low,1,I+A,1//1,3//1,4,I+D,14//3,2//1,intersection,-11//3,false,false
carrier_heavy,low,1,I+A,1//1,3//1,5,I+A+D,14//3,4//1,intersection,11//3,true,false
carrier_heavy,low,1,I+A,1//1,3//1,6,I+B+D,14//3,4//1,intersection,11//3,true,false
carrier_heavy,low,1,I+A,1//1,3//1,7,I+A+B+D,14//3,6//1,intersection,11//9,true,false
carrier_heavy,low,2,I+B,1//1,3//1,3,I+A+B,1//1,5//1,intersection,0//1,true,false
carrier_heavy,low,2,I+B,1//1,3//1,4,I+D,14//3,2//1,intersection,-11//3,false,false
carrier_heavy,low,2,I+B,1//1,3//1,5,I+A+D,14//3,4//1,intersection,11//3,true,false
carrier_heavy,low,2,I+B,1//1,3//1,6,I+B+D,14//3,4//1,intersection,11//3,true,false
carrier_heavy,low,2,I+B,1//1,3//1,7,I+A+B+D,14//3,6//1,intersection,11//9,true,false
carrier_heavy,low,3,I+A+B,1//1,5//1,4,I+D,14//3,2//1,intersection,-11//9,false,false
carrier_heavy,low,3,I+A+B,1//1,5//1,5,I+A+D,14//3,4//1,intersection,-11//3,false,false
carrier_heavy,low,3,I+A+B,1//1,5//1,6,I+B+D,14//3,4//1,intersection,-11//3,false,false
carrier_heavy,low,3,I+A+B,1//1,5//1,7,I+A+B+D,14//3,6//1,intersection,11//3,true,false
carrier_heavy,low,4,I+D,14//3,2//1,5,I+A+D,14//3,4//1,intersection,0//1,true,true
carrier_heavy,low,4,I+D,14//3,2//1,6,I+B+D,14//3,4//1,intersection,0//1,true,true
carrier_heavy,low,4,I+D,14//3,2//1,7,I+A+B+D,14//3,6//1,intersection,0//1,true,true
carrier_heavy,low,5,I+A+D,14//3,4//1,6,I+B+D,14//3,4//1,coincident,,false,false
carrier_heavy,low,5,I+A+D,14//3,4//1,7,I+A+B+D,14//3,6//1,intersection,0//1,true,true
carrier_heavy,low,6,I+B+D,14//3,4//1,7,I+A+B+D,14//3,6//1,intersection,0//1,true,true
carrier_heavy,high,0,I,23//288,1//1,1,I+A,7//6,3//1,intersection,313//576,true,false
carrier_heavy,high,0,I,23//288,1//1,2,I+B,7//6,3//1,intersection,313//576,true,false
carrier_heavy,high,0,I,23//288,1//1,3,I+A+B,7//6,5//1,intersection,313//1152,true,false
carrier_heavy,high,0,I,23//288,1//1,4,I+D,22//3,2//1,intersection,2089//288,true,true
carrier_heavy,high,0,I,23//288,1//1,5,I+A+D,22//3,4//1,intersection,2089//864,true,false
carrier_heavy,high,0,I,23//288,1//1,6,I+B+D,22//3,4//1,intersection,2089//864,true,false
carrier_heavy,high,0,I,23//288,1//1,7,I+A+B+D,22//3,6//1,intersection,2089//1440,true,false
carrier_heavy,high,1,I+A,7//6,3//1,2,I+B,7//6,3//1,coincident,,false,false
carrier_heavy,high,1,I+A,7//6,3//1,3,I+A+B,7//6,5//1,intersection,0//1,true,false
carrier_heavy,high,1,I+A,7//6,3//1,4,I+D,22//3,2//1,intersection,-37//6,false,false
carrier_heavy,high,1,I+A,7//6,3//1,5,I+A+D,22//3,4//1,intersection,37//6,true,false
carrier_heavy,high,1,I+A,7//6,3//1,6,I+B+D,22//3,4//1,intersection,37//6,true,false
carrier_heavy,high,1,I+A,7//6,3//1,7,I+A+B+D,22//3,6//1,intersection,37//18,true,false
carrier_heavy,high,2,I+B,7//6,3//1,3,I+A+B,7//6,5//1,intersection,0//1,true,false
carrier_heavy,high,2,I+B,7//6,3//1,4,I+D,22//3,2//1,intersection,-37//6,false,false
carrier_heavy,high,2,I+B,7//6,3//1,5,I+A+D,22//3,4//1,intersection,37//6,true,false
carrier_heavy,high,2,I+B,7//6,3//1,6,I+B+D,22//3,4//1,intersection,37//6,true,false
carrier_heavy,high,2,I+B,7//6,3//1,7,I+A+B+D,22//3,6//1,intersection,37//18,true,false
carrier_heavy,high,3,I+A+B,7//6,5//1,4,I+D,22//3,2//1,intersection,-37//18,false,false
carrier_heavy,high,3,I+A+B,7//6,5//1,5,I+A+D,22//3,4//1,intersection,-37//6,false,false
carrier_heavy,high,3,I+A+B,7//6,5//1,6,I+B+D,22//3,4//1,intersection,-37//6,false,false
carrier_heavy,high,3,I+A+B,7//6,5//1,7,I+A+B+D,22//3,6//1,intersection,37//6,true,false
carrier_heavy,high,4,I+D,22//3,2//1,5,I+A+D,22//3,4//1,intersection,0//1,true,true
carrier_heavy,high,4,I+D,22//3,2//1,6,I+B+D,22//3,4//1,intersection,0//1,true,true
carrier_heavy,high,4,I+D,22//3,2//1,7,I+A+B+D,22//3,6//1,intersection,0//1,true,true
carrier_heavy,high,5,I+A+D,22//3,4//1,6,I+B+D,22//3,4//1,coincident,,false,false
carrier_heavy,high,5,I+A+D,22//3,4//1,7,I+A+B+D,22//3,6//1,intersection,0//1,true,true
carrier_heavy,high,6,I+B+D,22//3,4//1,7,I+A+B+D,22//3,6//1,intersection,0//1,true,true
descendant_heavy,low,0,I,115//288,1//1,1,I+A,1//1,2//1,intersection,173//288,true,false
descendant_heavy,low,0,I,115//288,1//1,2,I+B,1//1,2//1,intersection,173//288,true,false
descendant_heavy,low,0,I,115//288,1//1,3,I+A+B,1//1,3//1,intersection,173//576,true,false
descendant_heavy,low,0,I,115//288,1//1,4,I+D,14//3,3//1,intersection,1229//576,true,true
descendant_heavy,low,0,I,115//288,1//1,5,I+A+D,14//3,4//1,intersection,1229//864,true,false
descendant_heavy,low,0,I,115//288,1//1,6,I+B+D,14//3,4//1,intersection,1229//864,true,false
descendant_heavy,low,0,I,115//288,1//1,7,I+A+B+D,14//3,5//1,intersection,1229//1152,true,false
descendant_heavy,low,1,I+A,1//1,2//1,2,I+B,1//1,2//1,coincident,,false,false
descendant_heavy,low,1,I+A,1//1,2//1,3,I+A+B,1//1,3//1,intersection,0//1,true,false
descendant_heavy,low,1,I+A,1//1,2//1,4,I+D,14//3,3//1,intersection,11//3,true,false
descendant_heavy,low,1,I+A,1//1,2//1,5,I+A+D,14//3,4//1,intersection,11//6,true,false
descendant_heavy,low,1,I+A,1//1,2//1,6,I+B+D,14//3,4//1,intersection,11//6,true,false
descendant_heavy,low,1,I+A,1//1,2//1,7,I+A+B+D,14//3,5//1,intersection,11//9,true,false
descendant_heavy,low,2,I+B,1//1,2//1,3,I+A+B,1//1,3//1,intersection,0//1,true,false
descendant_heavy,low,2,I+B,1//1,2//1,4,I+D,14//3,3//1,intersection,11//3,true,false
descendant_heavy,low,2,I+B,1//1,2//1,5,I+A+D,14//3,4//1,intersection,11//6,true,false
descendant_heavy,low,2,I+B,1//1,2//1,6,I+B+D,14//3,4//1,intersection,11//6,true,false
descendant_heavy,low,2,I+B,1//1,2//1,7,I+A+B+D,14//3,5//1,intersection,11//9,true,false
descendant_heavy,low,3,I+A+B,1//1,3//1,4,I+D,14//3,3//1,parallel,,false,false
descendant_heavy,low,3,I+A+B,1//1,3//1,5,I+A+D,14//3,4//1,intersection,11//3,true,false
descendant_heavy,low,3,I+A+B,1//1,3//1,6,I+B+D,14//3,4//1,intersection,11//3,true,false
descendant_heavy,low,3,I+A+B,1//1,3//1,7,I+A+B+D,14//3,5//1,intersection,11//6,true,false
descendant_heavy,low,4,I+D,14//3,3//1,5,I+A+D,14//3,4//1,intersection,0//1,true,true
descendant_heavy,low,4,I+D,14//3,3//1,6,I+B+D,14//3,4//1,intersection,0//1,true,true
descendant_heavy,low,4,I+D,14//3,3//1,7,I+A+B+D,14//3,5//1,intersection,0//1,true,true
descendant_heavy,low,5,I+A+D,14//3,4//1,6,I+B+D,14//3,4//1,coincident,,false,false
descendant_heavy,low,5,I+A+D,14//3,4//1,7,I+A+B+D,14//3,5//1,intersection,0//1,true,true
descendant_heavy,low,6,I+B+D,14//3,4//1,7,I+A+B+D,14//3,5//1,intersection,0//1,true,true
descendant_heavy,high,0,I,23//288,1//1,1,I+A,7//6,2//1,intersection,313//288,true,false
descendant_heavy,high,0,I,23//288,1//1,2,I+B,7//6,2//1,intersection,313//288,true,false
descendant_heavy,high,0,I,23//288,1//1,3,I+A+B,7//6,3//1,intersection,313//576,true,false
descendant_heavy,high,0,I,23//288,1//1,4,I+D,22//3,3//1,intersection,2089//576,true,true
descendant_heavy,high,0,I,23//288,1//1,5,I+A+D,22//3,4//1,intersection,2089//864,true,false
descendant_heavy,high,0,I,23//288,1//1,6,I+B+D,22//3,4//1,intersection,2089//864,true,false
descendant_heavy,high,0,I,23//288,1//1,7,I+A+B+D,22//3,5//1,intersection,2089//1152,true,false
descendant_heavy,high,1,I+A,7//6,2//1,2,I+B,7//6,2//1,coincident,,false,false
descendant_heavy,high,1,I+A,7//6,2//1,3,I+A+B,7//6,3//1,intersection,0//1,true,false
descendant_heavy,high,1,I+A,7//6,2//1,4,I+D,22//3,3//1,intersection,37//6,true,false
descendant_heavy,high,1,I+A,7//6,2//1,5,I+A+D,22//3,4//1,intersection,37//12,true,false
descendant_heavy,high,1,I+A,7//6,2//1,6,I+B+D,22//3,4//1,intersection,37//12,true,false
descendant_heavy,high,1,I+A,7//6,2//1,7,I+A+B+D,22//3,5//1,intersection,37//18,true,false
descendant_heavy,high,2,I+B,7//6,2//1,3,I+A+B,7//6,3//1,intersection,0//1,true,false
descendant_heavy,high,2,I+B,7//6,2//1,4,I+D,22//3,3//1,intersection,37//6,true,false
descendant_heavy,high,2,I+B,7//6,2//1,5,I+A+D,22//3,4//1,intersection,37//12,true,false
descendant_heavy,high,2,I+B,7//6,2//1,6,I+B+D,22//3,4//1,intersection,37//12,true,false
descendant_heavy,high,2,I+B,7//6,2//1,7,I+A+B+D,22//3,5//1,intersection,37//18,true,false
descendant_heavy,high,3,I+A+B,7//6,3//1,4,I+D,22//3,3//1,parallel,,false,false
descendant_heavy,high,3,I+A+B,7//6,3//1,5,I+A+D,22//3,4//1,intersection,37//6,true,false
descendant_heavy,high,3,I+A+B,7//6,3//1,6,I+B+D,22//3,4//1,intersection,37//6,true,false
descendant_heavy,high,3,I+A+B,7//6,3//1,7,I+A+B+D,22//3,5//1,intersection,37//12,true,false
descendant_heavy,high,4,I+D,22//3,3//1,5,I+A+D,22//3,4//1,intersection,0//1,true,true
descendant_heavy,high,4,I+D,22//3,3//1,6,I+B+D,22//3,4//1,intersection,0//1,true,true
descendant_heavy,high,4,I+D,22//3,3//1,7,I+A+B+D,22//3,5//1,intersection,0//1,true,true
descendant_heavy,high,5,I+A+D,22//3,4//1,6,I+B+D,22//3,4//1,coincident,,false,false
descendant_heavy,high,5,I+A+D,22//3,4//1,7,I+A+B+D,22//3,5//1,intersection,0//1,true,true
descendant_heavy,high,6,I+B+D,22//3,4//1,7,I+A+B+D,22//3,5//1,intersection,0//1,true,true
