parameter,label,parameter_value,belief_index,coordinate,potential,research_region,component_count,threshold_kind,cutoff_coordinate
baseline,baseline,baseline,67,0.55,1.4575480258480455,true,1,upper,0.375
baseline,baseline,baseline,68,0.5583333333333333,1.49116327326701,true,1,upper,0.375
baseline,baseline,baseline,69,0.5666666666666667,1.524026224340703,true,1,upper,0.375
baseline,baseline,baseline,70,0.575,1.5560478394646706,true,1,upper,0.375
baseline,baseline,baseline,71,0.5833333333333334,1.5871405313590718,true,1,upper,0.375
baseline,baseline,baseline,72,0.5916666666666667,1.6172185927365037,true,1,upper,0.375
baseline,baseline,baseline,73,0.6,1.6461986287420733,true,1,upper,0.375
baseline,baseline,baseline,74,0.6083333333333333,1.673999990338651,true,1,upper,0.375
baseline,baseline,baseline,75,0.6166666666666667,1.7005452046808076,true,1,upper,0.375
baseline,baseline,baseline,76,0.625,1.7257603984937555,true,1,upper,0.375
baseline,baseline,baseline,77,0.6333333333333333,1.7495757105419185,true,1,upper,0.375
baseline,baseline,baseline,78,0.6416666666666667,1.7719256894294482,true,1,upper,0.375
baseline,baseline,baseline,79,0.65,1.7927496732183321,true,1,upper,0.375
baseline,baseline,baseline,80,0.6583333333333333,1.8119921476764793,true,1,upper,0.375
baseline,baseline,baseline,81,0.6666666666666666,1.829603080378753,true,1,upper,0.375
baseline,baseline,baseline,82,0.675,1.845538228379598,true,1,upper,0.375
baseline,baseline,baseline,83,0.6833333333333333,1.859759417758389,true,1,upper,0.375
baseline,baseline,baseline,84,0.6916666666666667,1.8722347940079673,true,1,upper,0.375
baseline,baseline,baseline,85,0.7,1.882939042987912,true,1,upper,0.375
baseline,baseline,baseline,86,0.7083333333333334,1.8918535829851495,true,1,upper,0.375
baseline,baseline,baseline,87,0.7166666666666667,1.8989667292899237,true,1,upper,0.375
baseline,baseline,baseline,88,0.725,1.9042738335641025,true,1,upper,0.375
baseline,baseline,baseline,89,0.7333333333333333,1.9077774010878745,true,1,upper,0.375
baseline,baseline,baseline,90,0.7416666666666667,1.9094871896324597,true,1,upper,0.375
baseline,baseline,baseline,91,0.75,1.9094202941063394,true,1,upper,0.375
baseline,baseline,baseline,92,0.7583333333333333,1.90760122112267,true,1,upper,0.375
baseline,baseline,baseline,93,0.7666666666666667,1.9040619570819293,true,1,upper,0.375
baseline,baseline,baseline,94,0.775,1.898842032101235,true,1,upper,0.375
baseline,baseline,baseline,95,0.7833333333333333,1.8919885800166127,true,1,upper,0.375
baseline,baseline,baseline,96,0.7916666666666666,1.8835563916558251,true,1,upper,0.375
baseline,baseline,baseline,97,0.8,1.8736079546358628,true,1,upper,0.375
baseline,baseline,baseline,98,0.8083333333333333,1.8622134682177451,true,1,upper,0.375
baseline,baseline,baseline,99,0.8166666666666667,1.8494508165510533,true,1,upper,0.375
baseline,baseline,baseline,100,0.825,1.8354054784425073,true,1,upper,0.375
baseline,baseline,baseline,101,0.8333333333333334,1.8201703472438244,true,1,upper,0.375
baseline,baseline,baseline,102,0.8416666666666667,1.803845431366689,true,1,upper,0.375
baseline,baseline,baseline,103,0.85,1.7865374051433127,true,1,upper,0.375
baseline,baseline,baseline,104,0.8583333333333333,1.768358982038106,true,1,upper,0.375
baseline,baseline,baseline,105,0.8666666666666667,1.7494280881385904,true,1,upper,0.375
baseline,baseline,baseline,106,0.875,1.7298668235952988,true,1,upper,0.375
baseline,baseline,baseline,107,0.8833333333333333,1.709800212918941,true,1,upper,0.375
baseline,baseline,baseline,108,0.8916666666666667,1.6893547608846962,true,1,upper,0.375
baseline,baseline,baseline,109,0.9,1.6686568478024453,true,1,upper,0.375
baseline,baseline,baseline,110,0.9083333333333333,1.6478310142512513,true,1,upper,0.375
baseline,baseline,baseline,111,0.9166666666666666,1.6269981990521998,true,1,upper,0.375
baseline,baseline,baseline,112,0.925,1.6062740034232983,true,1,upper,0.375
baseline,baseline,baseline,113,0.9333333333333333,1.5857670575483382,true,1,upper,0.375
baseline,baseline,baseline,114,0.9416666666666667,1.5655775625443453,true,1,upper,0.375
baseline,baseline,baseline,115,0.95,1.545796071228586,true,1,upper,0.375
baseline,baseline,baseline,116,0.9583333333333334,1.5265025561962633,true,1,upper,0.375
baseline,baseline,baseline,117,0.9666666666666667,1.5077657952132975,true,1,upper,0.375
baseline,baseline,baseline,118,0.975,1.4896430838692698,true,1,upper,0.375
baseline,baseline,baseline,119,0.9833333333333333,1.4721802659330507,true,1,upper,0.375
baseline,baseline,baseline,120,0.9916666666666667,1.45541205475267,true,1,upper,0.375
baseline,baseline,baseline,121,1.0,1.439362605694012,true,1,upper,0.375
cost,cost=0.55,0.55,1,0.0,0.1633388529328044,false,1,upper,0.325
cost,cost=0.55,0.55,2,0.008333333333333333,0.16600420391057422,false,1,upper,0.325
cost,cost=0.55,0.55,3,0.016666666666666666,0.16887913262884194,false,1,upper,0.325
cost,cost=0.55,0.55,4,0.025,0.17197657732682986,false,1,upper,0.325
cost,cost=0.55,0.55,5,0.03333333333333333,0.17530955594124537,false,1,upper,0.325
cost,cost=0.55,0.55,6,0.041666666666666664,0.17889109396457675,false,1,upper,0.325
cost,cost=0.55,0.55,7,0.05,0.1827341660805206,false,1,upper,0.325
cost,cost=0.55,0.55,8,0.058333333333333334,0.1868516581995236,false,1,upper,0.325
cost,cost=0.55,0.55,9,0.06666666666666667,0.1912563561992052,false,1,upper,0.325
cost,cost=0.55,0.55,10,0.075,0.1959609667631203,false,1,upper,0.325
cost,cost=0.55,0.55,11,0.08333333333333333,0.20097817420576805,false,1,upper,0.325
cost,cost=0.55,0.55,12,0.09166666666666666,0.20632073514234112,false,1,upper,0.325
cost,cost=0.55,0.55,13,0.1,0.21200161044794888,false,1,upper,0.325
cost,cost=0.55,0.55,14,0.10833333333333334,0.21803413134683036,false,1,upper,0.325
cost,cost=0.55,0.55,15,0.11666666666666667,0.22443219389973393,false,1,upper,0.325
cost,cost=0.55,0.55,16,0.125,0.23121047383655402,false,1,upper,0.325
cost,cost=0.55,0.55,17,0.13333333333333333,0.2383846517966658,false,1,upper,0.325
cost,cost=0.55,0.55,18,0.14166666666666666,0.24597163771908193,false,1,upper,0.325
cost,cost=0.55,0.55,19,0.15,0.2539897824276248,false,1,upper,0.325
cost,cost=0.55,0.55,20,0.15833333333333333,0.2624590643759734,false,1,upper,0.325
cost,cost=0.55,0.55,21,0.16666666666666666,0.2714012399954794,false,1,upper,0.325
cost,cost=0.55,0.55,22,0.175,0.28083994703731036,false,1,upper,0.325
cost,cost=0.55,0.55,23,0.18333333333333332,0.29080075162528696,false,1,upper,0.325
cost,cost=0.55,0.55,24,0.19166666666666668,0.3013111313539477,false,1,upper,0.325
cost,cost=0.55,0.55,25,0.2,0.31240038861691094,false,1,upper,0.325
cost,cost=0.55,0.55,26,0.20833333333333334,0.32409949039507513,false,1,upper,0.325
cost,cost=0.55,0.55,27,0.21666666666666667,0.33644083294922544,false,1,upper,0.325
cost,cost=0.55,0.55,28,0.225,0.34945793222652594,false,1,upper,0.325
cost,cost=0.55,0.55,29,0.23333333333333334,0.3631850432731594,false,1,upper,0.325
cost,cost=0.55,0.55,30,0.24166666666666667,0.3776567144914795,false,1,upper,0.325
cost,cost=0.55,0.55,31,0.25,0.3929072851057997,false,1,upper,0.325
cost,cost=0.55,0.55,32,0.25833333333333336,0.4089703365938369,false,1,upper,0.325
cost,cost=0.55,0.55,33,0.26666666666666666,0.42587811096618133,false,1,upper,0.325
cost,cost=0.55,0.55,34,0.275,0.44366091048946243,false,1,upper,0.325
cost,cost=0.55,0.55,35,0.2833333333333333,0.4623464946114584,false,1,upper,0.325
cost,cost=0.55,0.55,36,0.2916666666666667,0.48195949034261537,false,1,upper,0.325
cost,cost=0.55,0.55,37,0.3,0.5025208321010372,false,1,upper,0.325
cost,cost=0.55,0.55,38,0.30833333333333335,0.5240472460105137,false,1,upper,0.325
cost,cost=0.55,0.55,39,0.31666666666666665,0.5465507918845004,false,1,upper,0.325
cost,cost=0.55,0.55,40,0.325,0.5700384737223813,true,1,upper,0.325
cost,cost=0.55,0.55,41,0.3333333333333333,0.5945119266297754,true,1,upper,0.325
cost,cost=0.55,0.55,42,0.3416666666666667,0.6199671848353944,true,1,upper,0.325
cost,cost=0.55,0.55,43,0.35,0.6463945321220197,true,1,upper,0.325
cost,cost=0.55,0.55,44,0.35833333333333334,0.6737784327351388,true,1,upper,0.325
cost,cost=0.55,0.55,45,0.36666666666666664,0.7020975378845451,true,1,upper,0.325
cost,cost=0.55,0.55,46,0.375,0.7313247604881243,true,1,upper,0.325
cost,cost=0.55,0.55,47,0.38333333333333336,0.7614274089561177,true,1,upper,0.325
cost,cost=0.55,0.55,48,0.39166666666666666,0.7923673696591,true,1,upper,0.325
cost,cost=0.55,0.55,49,0.4,0.8241013272875645,true,1,upper,0.325
cost,cost=0.55,0.55,50,0.4083333333333333,0.8565810125639312,true,1,upper,0.325
cost,cost=0.55,0.55,51,0.4166666666666667,0.8897534676286251,true,1,upper,0.325
cost,cost=0.55,0.55,52,0.425,0.9235613207716579,true,1,upper,0.325
cost,cost=0.55,0.55,53,0.43333333333333335,0.9579430638757237,true,1,upper,0.325
cost,cost=0.55,0.55,54,0.44166666666666665,0.9928333278204571,true,1,upper,0.325
cost,cost=0.55,0.55,55,0.45,1.0281631530176534,true,1,upper,0.325
cost,cost=0.55,0.55,56,0.4583333333333333,1.0638602540653002,true,1,upper,0.325
cost,cost=0.55,0.55,57,0.4666666666666667,1.0998492791106211,true,1,upper,0.325
cost,cost=0.55,0.55,58,0.475,1.1360520658145854,true,1,upper,0.325
cost,cost=0.55,0.55,59,0.48333333333333334,1.1723878967617363,true,1,upper,0.325
cost,cost=0.55,0.55,60,0.49166666666666664,1.2087737577406217,true,1,upper,0.325
cost,cost=0.55,0.55,61,0.5,1.2451246025415514,true,1,upper,0.325
cost,cost=0.55,0.55,62,0.5083333333333333,1.2813536278134727,true,1,upper,0.325
cost,cost=0.55,0.55,63,0.5166666666666667,1.3173725611410458,true,1,upper,0.325
cost,cost=0.55,0.55,64,0.525,1.353091964907769,true,1,upper,0.325
cost,cost=0.55,0.55,65,0.5333333333333333,1.3884215577661925,true,1,upper,0.325
cost,cost=0.55,0.55,66,0.5416666666666666,1.423270554705541,true,1,upper,0.325
cost,cost=0.55,0.55,67,0.55,1.4575480258480455,true,1,upper,0.325
cost,cost=0.55,0.55,68,0.5583333333333333,1.49116327326701,true,1,upper,0.325
