trial_id,method,source_size,retained_size,removed_count,library_reduction,budget_kind,budget_fraction,budget_amount,passive_value,research_option_premium,total_value,signed_operational_loss,signed_generative_loss,signed_total_dynamic_loss,operational_loss,generative_loss,total_dynamic_loss,future_value_loss,retained_ids,decomposition_gate
52,approx_operational,6,3,3,1//2,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_5,true
52,approx_generative,6,1,5,5//6,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
53,frontier_only,6,2,4,2//3,none,0//1,0//1,175//16,21//128,1421//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
53,innovation_safe,6,4,2,1//3,none,0//1,0//1,175//16,21//128,1421//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_3;strategy_5,true
53,approx_operational,6,2,4,2//3,passive_value,1//10,35//32,175//16,21//128,1421//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
53,approx_generative,6,2,4,2//3,research_option_premium,1//20,21//2560,175//16,21//128,1421//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_3,true
54,frontier_only,6,2,4,2//3,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_4,true
54,innovation_safe,6,4,2,1//3,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_4;strategy_5,true
54,approx_operational,6,2,4,2//3,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_4,true
54,approx_generative,6,1,5,5//6,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
55,frontier_only,6,2,4,2//3,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_5,true
55,innovation_safe,6,3,3,1//2,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_4;strategy_5,true
55,approx_operational,6,2,4,2//3,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_5,true
