prefix_n,scope,factor,level,estimand,statistic_kind,event_count,non_event_count,observation_count,exact_sum,estimate,exact_sample_variance,interval_kind,interval_low,interval_high,mcse,warning_code,warning,simulation_precision_only
100,factor,frontier_density,sparse,innovation_safe_loss_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,frontier_density,sparse,silent_generative_asset_frequency,frequency,24,226,250,24//1,12//125,,Wilson descriptive simulation interval,0.0653618807787,0.138865825214,,,,true
100,factor,frontier_density,sparse,substitution_frequency,frequency,24,26,50,24//1,12//25,,Wilson descriptive simulation interval,0.347971352866,0.6148825511,,,,true
100,factor,frontier_density,sparse,complementarity_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,frontier_density,sparse,frontier_only_mean_compression_ratio,mean,50,0,50,25//1,1//2,0//1,,,,0,,,true
100,factor,frontier_density,sparse,innovation_safe_mean_compression_ratio,mean,50,0,50,23//3,23//150,69//2450,,,,0.0237332110369,,,true
100,factor,frontier_density,dense,frontier_positive_loss_frequency,frequency,21,29,50,21//1,21//50,,Wilson descriptive simulation interval,0.293750033547,0.557665582314,,,,true
100,factor,frontier_density,dense,mean_positive_frontier_loss,mean,21,29,21,4501835//196608,4501835//4128768,907589446537//811748818944,,,,0.230740717391,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,frontier_density,dense,innovation_safe_loss_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,frontier_density,dense,silent_generative_asset_frequency,frequency,21,229,250,21//1,21//250,,Wilson descriptive simulation interval,0.0555960387666,0.124994866414,,,,true
100,factor,frontier_density,dense,substitution_frequency,frequency,23,27,50,23//1,23//50,,Wilson descriptive simulation interval,0.329696521922,0.596011286008,,,,true
100,factor,frontier_density,dense,complementarity_frequency,frequency,0,50,50,0//1,0//1,,Wilson descriptive simulation interval,0,0.0713475991334,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,frontier_density,dense,frontier_only_mean_compression_ratio,mean,50,0,50,50//3,1//3,0//1,,,,0,,,true
100,factor,frontier_density,dense,innovation_safe_mean_compression_ratio,mean,50,0,50,13//3,13//150,26//3675,,,,0.0118952342827,,,true
100,factor,module_overlap,low,frontier_positive_loss_frequency,frequency,22,29,51,22//1,22//51,,Wilson descriptive simulation interval,0.305012361079,0.567346978907,,,,true
100,factor,module_overlap,low,mean_positive_frontier_loss,mean,22,29,22,5152423//196608,5152423//4325376,8454611953223//5952824672256,,,,0.254082031696,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
100,factor,module_overlap,low,innovation_safe_loss_frequency,frequency,0,51,51,0//1,0//1,,Wilson descriptive simulation interval,0,0.0700466198985,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,module_overlap,low,silent_generative_asset_frequency,frequency,22,233,255,22//1,22//255,,Wilson descriptive simulation interval,0.0576635897247,0.127165606644,,,,true
100,factor,module_overlap,low,substitution_frequency,frequency,24,27,51,24//1,8//17,,Wilson descriptive simulation interval,0.340529902095,0.604766957899,,,,true
100,factor,module_overlap,low,complementarity_frequency,frequency,0,51,51,0//1,0//1,,Wilson descriptive simulation interval,0,0.0700466198985,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
100,factor,module_overlap,low,frontier_only_mean_compression_ratio,mean,51,0,51,43//2,43//102,3//425,,,,0.0117647058824,,,true
100,factor,module_overlap,low,innovation_safe_mean_compression_ratio,mean,51,0,51,0//1,0//1,0//1,,,,0,,,true
